Organism Name;SeqName;Name of element;Size (bp);ORF-1 RRM;ORF-1 DUF;ORF-1 zf-CCHC;EEP;RT;RVT;RH;GTT;Poli-A
Gossypium hirsutum L.;L1_Gossypium_hirsutum_seq3;L1_seq3;7234;;179-532;;1962-2378;3393-3998;4971-5228;5550-5909;;7219-7234
Gossypium hirsutum L.;L1_Gossypium_hirsutum_seq4;L1_seq4;5847;;23-424;488-559;1767-2414;3198-4001;4776-5033;5352-5711;;5834-5847
Senecio sylvaticus L.;L1_Senecio_sylvaticus_seq2;L1_seq2;5238;;443-895;;1476-2114;2898-3698;4476-4730;;;5228-5238
Senecio sylvaticus L.;L1_Senecio_sylvaticus_seq3;L1_seq3;5389;;489-935;;1516-2211;3001-3801;4579-4836;;;5377-5389
Senecio sylvaticus L.;L1_Senecio_sylvaticus_seq4;L1_seq4;5254;;386-832	;;1413-2108;2898-3698;4448-4705;;;5246-5254
Helianthus annuus L.;L1_Helianthus_annuus_seq2;L1_seq2;5508;;114-560;;1486-2187;2970-3770;4548-4814;;;5495-5508
Helianthus annuus L.;L1_Helianthus_annuus_seq3;L1_seq3;5545;79-291;511-855;;1782-2471;3261-4055;4710-4895;;;5520-5545
Helianthus annuus L.;L1_Helianthus_annuus_seq4;L1_seq4;5801;85-276;;;2043-2726;3516-4310;5118-5357;;;5793-5801
Helianthus annuus L.;L1_Helianthus_annuus_seq6;L1_seq6;4494;124-384;;;1458-2168;3015-3764;;;;4488-4494
Helianthus annuus L.;RTE_Helianthus_annuus_seq2;RTE_seq2;3057;;;;391-918;1812-2564;;;;3049-3057
Mikania micrantha Kunth;RTE_Mikania_micrantha_seq1;RTE_seq1;3638;;;;504-1214;2055-2801;;;;3627-3638
Mikania micrantha Kunth;RTE_Mikania_micrantha_seq2;RTE_seq2;3501;;;;373-1083;1924-2670;;;;3488-3501
Mikania micrantha Kunth;RTE_Mikania_micrantha_seq3;RTE_seq3;3782;;;;504-1214;2055-2801;;;;3764-3782
Mikania micrantha Kunth;RTE_Mikania_micrantha_seq4;RTE_seq4;4068;;;;604-1314;2155-2910;;;;4052-4068
Mikania micrantha Kunth;RTE_Mikania_micrantha_seq5;RTE_seq5;3744;;;;625-1152;2175-2921;;;;3725-3744
Daucus carota L.;L1_Daucus_carota_seq1;L1_seq1;5289;;90-524;528-671;1190-1600;2635-3441;4219-4485;4804-5169;;5273-5289
Daucus carota L.;L1_Daucus_carota_seq2;L1_seq2;5528;;92-529;596-679;1225-1653;2710-3411;4197-4460;4774-5136;;5519-5528
Daucus carota L.;L1_Daucus_carota_seq3;L1_seq3;5498;;109-546;625-696;1245-1655;2841-3647;4424-4693;5012-5377;;5483-5498
Aralia elata (Miq.) Seem.;L1_Aralia_elata_seq1;L1_seq1;6654;;308-739;;1378-2064;2869-3681;4459-4701;5577-5903;;6642-6654
Aralia elata (Miq.) Seem.;L1_Aralia_elata_seq2;L1_seq2;5152;;358-564;;1405-2091;2896-3684;4462-4707;;;5137-5152
Aralia elata (Miq.) Seem.;L1_Aralia_elata_seq3;L1_seq3;4860;;385-483;;1116-1802;2607-3395;4173-4418;;;4848-4860
Aralia elata (Miq.) Seem.;L1_Aralia_elata_seq4;L1_seq4;5657;;413-721;;1339-2025;2827-3624;4402-4644;;;5643-5657
Coffea canephora Pierre ex A.Froehner;L1_Coffea_canephora_seq2;L1_seq2;5920;;278-664;719-856;1711-2391;3175-3984;4750-5043;5386-5748;;5892-5920
Coffea canephora Pierre ex A.Froehner;L1_Coffea_canephora_seq3;L1_seq3;4267;;;;297-680;1459-2244;3054-3275;3609-3971;;4251-4267
Coffea canephora Pierre ex A.Froehner;L1_Coffea_canephora_seq4;L1_seq4;4425;;;;268-897;1675-2484;3358-3552;3934-4218;;4416-4425
Coffea canephora Pierre ex A.Froehner;L1_Coffea_canephora_seq5;L1_seq5;5928;;296-658;;1746-2153;3201-4010;4775-5077;5414-5779;;5918-5928
Coffea canephora Pierre ex A.Froehner;L1_Coffea_canephora_seq7;L1_seq7;5860;;252-614;;1707-2363;3141-3947;4845-5009;5346-5711;;5850-5860
Jacaranda mimosifolia D Don.;L1_Jacaranda_mimosifolia_seq1;L1_seq1;7331;;268-684;;2130-2774;3558-4358;5109-5342;5736-6095;;7315-7331
Jacaranda mimosifolia D Don.;L1_Jacaranda_mimosifolia_seq2;L1_seq2;7183;;280-708;;1656-2294;3078-3878;4629-4862;5256-5615;;7158-7183
Jacaranda mimosifolia D Don.;L1_Jacaranda_mimosifolia_seq3;L1_seq3;7044;;340-768;;1716-2354;3138-3938;4689-4922;5316-5675;;7010-7044
Jacaranda mimosifolia D Don.;L1_Jacaranda_mimosifolia_seq5;L1_seq5;6071;;464-892	;;1813-2463;3256-4044;4804-5052;5431-5790;;6054-6071
Solanum tuberosum L.;L1_Solanum_tuberosum_seq1;L1_seq1;4524;;124-534;;1065-1730;2541-3338;3855-4100;;;4511-4524
Solanum tuberosum L.;L1_Solanum_tuberosum_seq2;L1_seq2;4508;;124-534;;1065-1730;2541-3338;3855-4100;;;4496-4508
Solanum tuberosum L.;L1_Solanum_tuberosum_seq3;L1_seq3;4429;;103-537;;1062-1649;2541-3338;3864-4106;;;4419-4429
Solanum tuberosum L.;RTE_Solanum_tuberosum_seq1;RTE_seq1;3652;;;;384-1094;1941-2690;;;3576-3599;3636-3652
Solanum tuberosum L.;RTE_Solanum_tuberosum_seq2;RTE_seq2;3376;;;;341-1051;1898-2647;;;3231-3248;3367-3376
Solanum tuberosum L.;RTE_Solanum_tuberosum_seq3;RTE_seq3;3735;;;;281-991	;1838-2587;;;3472-3492;3727-3735
Capsicum baccatum L.;L1_Capsicum_baccatum_seq1;L1_seq1;7705;;295-726;;3729-4121;4917-5702;6471-6722;7092-7454;;7687-7705
Capsicum baccatum L.;RTE_Capsicum_baccatum_seq1;RTE_seq1;4166;;;;547-1257;2101-2853;;;3746-3760;4157-4166
Capsicum baccatum L.;RTE_Capsicum_baccatum_seq2;RTE_seq2;3832;;;;538-1248;2095-2844;;;3723-3734;3826-3832
Capsicum baccatum L.;RTE_Capsicum_baccatum_seq3;RTE_seq3;4077;;;;532-1242;2086-2835;;;3681-3698;4069-4077
